"id","amascat","stat","value"
652,"hi","bis_ATT",2.25
653,"lo","bis_ATT",2.875
654,"lo","bis_ATT",2.375
655,"lo","bis_ATT",2
602,"hi","bis_MTR",1.54545454545455
603,"hi","bis_MTR",2.45454545454545
604,"hi","bis_MTR",1.72727272727273
605,"lo","bis_MTR",1.54545454545455
606,"lo","bis_MTR",1.90909090909091
607,"hi","bis_MTR",1.72727272727273
608,"hi","bis_MTR",1.72727272727273
609,"hi","bis_MTR",2.45454545454545
610,"lo","bis_MTR",1.27272727272727
611,"lo","bis_MTR",1.54545454545455
612,"lo","bis_MTR",2
613,"lo","bis_MTR",2.09090909090909
614,"lo","bis_MTR",1.81818181818182
615,"lo","bis_MTR",2.18181818181818
616,"lo","bis_MTR",2
617,"hi","bis_MTR",1.72727272727273
618,"lo","bis_MTR",1.63636363636364
619,"lo","bis_MTR",1.90909090909091
620,"hi","bis_MTR",1.45454545454545
621,"lo","bis_MTR",2.36363636363636
622,"hi","bis_MTR",2.36363636363636
625,"lo","bis_MTR",1.54545454545455
626,"hi","bis_MTR",2.09090909090909
627,"hi","bis_MTR",1.45454545454545
628,"hi","bis_MTR",1.90909090909091
629,"hi","bis_MTR",2.18181818181818
630,"hi","bis_MTR",2
631,"hi","bis_MTR",2.36363636363636
632,"hi","bis_MTR",1.27272727272727
633,"lo","bis_MTR",1.54545454545455
634,"hi","bis_MTR",2.27272727272727
635,"lo","bis_MTR",2.90909090909091
636,"hi","bis_MTR",2.09090909090909
637,"hi","bis_MTR",1.54545454545455
638,"lo","bis_MTR",2.18181818181818
640,"lo","bis_MTR",1.63636363636364
641,"lo","bis_MTR",2.09090909090909
642,"hi","bis_MTR",2
643,"lo","bis_MTR",1.72727272727273
644,"hi","bis_MTR",1.36363636363636
645,"lo","bis_MTR",1.90909090909091
646,"lo","bis_MTR",1.54545454545455
647,"hi","bis_MTR",2.18181818181818
648,"hi","bis_MTR",1.36363636363636
649,"hi","bis_MTR",2.09090909090909
650,"lo","bis_MTR",1.36363636363636
651,"lo","bis_MTR",1.81818181818182
652,"hi","bis_MTR",1.72727272727273
653,"lo","bis_MTR",2.27272727272727
654,"lo","bis_MTR",2.09090909090909
655,"lo","bis_MTR",1.54545454545455
602,"hi","bis_NPL",1.54545454545455
603,"hi","bis_NPL",2.27272727272727
604,"hi","bis_NPL",2.18181818181818
605,"lo","bis_NPL",2.27272727272727
606,"lo","bis_NPL",2.45454545454545
607,"hi","bis_NPL",2.27272727272727
608,"hi","bis_NPL",2.45454545454545
609,"hi","bis_NPL",2.27272727272727
610,"lo","bis_NPL",2.09090909090909
611,"lo","bis_NPL",2
612,"lo","bis_NPL",2.18181818181818
613,"lo","bis_NPL",2.72727272727273
614,"lo","bis_NPL",1.63636363636364
615,"lo","bis_NPL",1.45454545454545
616,"lo","bis_NPL",2.09090909090909
617,"hi","bis_NPL",1.90909090909091
618,"lo","bis_NPL",2.09090909090909
619,"lo","bis_NPL",2.45454545454545
620,"hi","bis_NPL",2.18181818181818
