"id","amascat","biscat","amas_learn","amas_eval","amas","bis_ATT","bis_MTR","bis_NPL","bis","mathtask","value","difficulty","subject","stat"
645,"lo","lo",1,2,1.44444444444444,1.75,1.90909090909091,2.54545454545455,2.1,"easyverbaltime",3186.425,"easy","verbal","time"
646,"lo","lo",1.4,2.5,1.88888888888889,1.75,1.54545454545455,2.18181818181818,1.83333333333333,"easyverbaltime",2025.4875,"easy","verbal","time"
647,"hi","lo",1.8,5,3.22222222222222,2.25,2.18181818181818,1.45454545454545,1.93333333333333,"easyverbaltime",2128.525,"easy","verbal","time"
648,"hi","lo",2.8,3.25,3,1.5,1.36363636363636,2.45454545454545,1.8,"easyverbaltime",2424.7875,"easy","verbal","time"
649,"hi","hi",1.4,4.5,2.77777777777778,2.125,2.09090909090909,2.72727272727273,2.33333333333333,"easyverbaltime",2332.9875,"easy","verbal","time"
650,"lo","lo",1,2.5,1.66666666666667,1.5,1.36363636363636,2,1.63333333333333,"easyverbaltime",2558.45,"easy","verbal","time"
651,"lo","lo",1,1.5,1.22222222222222,1.5,1.81818181818182,1.18181818181818,1.5,"easyverbaltime",2569.9,"easy","verbal","time"
652,"hi","lo",1.6,3.5,2.44444444444444,2.25,1.72727272727273,2.27272727272727,2.06666666666667,"easyverbaltime",2025.25,"easy","verbal","time"
653,"lo","hi",1,1.25,1.11111111111111,2.875,2.27272727272727,2.54545454545455,2.53333333333333,"easyverbaltime",2114.5625,"easy","verbal","time"
654,"lo","hi",1,2.75,1.77777777777778,2.375,2.09090909090909,2.36363636363636,2.26666666666667,"easyverbaltime",1973.3,"easy","verbal","time"
655,"lo","lo",1,2.5,1.66666666666667,2,1.54545454545455,1.54545454545455,1.66666666666667,"easyverbaltime",2485.4625,"easy","verbal","time"
602,"hi","lo",2.4,3.75,3,1.75,1.54545454545455,1.54545454545455,1.6,"hardverbaltime",3465.8875,"hard","verbal","time"
603,"hi","hi",3,3,3,2.75,2.45454545454545,2.27272727272727,2.46666666666667,"hardverbaltime",2898.875,"hard","verbal","time"
604,"hi","hi",2,3.5,2.66666666666667,2.625,1.72727272727273,2.18181818181818,2.13333333333333,"hardverbaltime",4710.25,"hard","verbal","time"
605,"lo","lo",1,2.5,1.66666666666667,1.875,1.54545454545455,2.27272727272727,1.9,"hardverbaltime",3837.1125,"hard","verbal","time"
606,"lo","hi",1.6,2.25,1.88888888888889,2.125,1.90909090909091,2.45454545454545,2.16666666666667,"hardverbaltime",3376,"hard","verbal","time"
607,"hi","lo",2.2,3.75,2.88888888888889,2,1.72727272727273,2.27272727272727,2,"hardverbaltime",2813.975,"hard","verbal","time"
608,"hi","lo",2.8,3.75,3.22222222222222,1.75,1.72727272727273,2.45454545454545,2,"hardverbaltime",3658.7375,"hard","verbal","time"
609,"hi","hi",3.4,3.75,3.55555555555556,2.625,2.45454545454545,2.27272727272727,2.43333333333333,"hardverbaltime",4803.2125,"hard","verbal","time"
610,"lo","lo",1,2.5,1.66666666666667,2.125,1.27272727272727,2.09090909090909,1.8,"hardverbaltime",3723.5125,"hard","verbal","time"
611,"lo","lo",1.4,2.25,1.77777777777778,1.625,1.54545454545455,2,1.73333333333333,"hardverbaltime",3253.6,"hard","verbal","time"
